[22:05:13.119] [INFO ] | c.w.b.interfaces.HelloControllerTest | No active profile set, falling back to default profiles: default
[22:06:14.205] [INFO ] | c.w.b.interfaces.HelloControllerTest | No active profile set, falling back to default profiles: default
[22:06:25.383] [INFO ] | c.w.b.interfaces.HelloControllerTest | Started HelloControllerTest in 12.854 seconds (JVM running for 14.408)
[22:12:23.096] [INFO ] | c.w.b.c.encrypt.JasyptConfigTest | No active profile set, falling back to default profiles: default
[22:12:25.869] [INFO ] | c.w.b.d.w.board.BoardRepositoryTest | No active profile set, falling back to default profiles: default
[22:12:26.436] [INFO ] | c.w.b.d.w.board.BoardRepositoryTest | No active profile set, falling back to default profiles: default
[22:12:27.008] [INFO ] | c.w.b.i.CommentControllerTest | No active profile set, falling back to default profiles: default
[22:12:28.089] [INFO ] | c.w.b.i.CommentControllerTest | No active profile set, falling back to default profiles: default
[22:12:29.010] [INFO ] | c.w.b.interfaces.HelloControllerTest | No active profile set, falling back to default profiles: default
[22:12:44.880] [INFO ] | c.w.b.interfaces.HelloControllerTest | No active profile set, falling back to default profiles: default
[22:12:55.596] [INFO ] | c.w.b.interfaces.HelloControllerTest | Started HelloControllerTest in 12.211 seconds (JVM running for 13.925)
[22:19:07.243] [INFO ] | c.webatoz.backend.WebatozApplication | No active profile set, falling back to default profiles: default
[22:19:29.642] [INFO ] | c.webatoz.backend.WebatozApplication | No active profile set, falling back to default profiles: default
[22:19:38.406] [INFO ] | c.webatoz.backend.WebatozApplication | Started WebatozApplication in 9.79 seconds (JVM running for 10.69)
[22:33:28.830] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[22:34:18.886] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[22:34:32.004] [INFO ] | c.w.b.interfaces.BoardControllerTest | Started BoardControllerTest in 14.669 seconds (JVM running for 16.222)
[22:35:15.730] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[22:35:27.217] [INFO ] | c.w.b.interfaces.BoardControllerTest | Started BoardControllerTest in 13.066 seconds (JVM running for 14.561)
[22:36:06.483] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[22:36:17.960] [INFO ] | c.w.b.interfaces.BoardControllerTest | Started BoardControllerTest in 13.209 seconds (JVM running for 14.936)
[22:37:33.995] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[22:37:46.781] [INFO ] | c.w.b.interfaces.BoardControllerTest | Started BoardControllerTest in 14.242 seconds (JVM running for 15.751)
[22:39:07.283] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[22:39:21.361] [INFO ] | c.w.b.interfaces.BoardControllerTest | Started BoardControllerTest in 15.495 seconds (JVM running for 16.87)
[22:43:24.385] [INFO ] | c.webatoz.backend.WebatozApplication | No active profile set, falling back to default profiles: default
[22:43:34.467] [INFO ] | c.webatoz.backend.WebatozApplication | Started WebatozApplication in 11.263 seconds (JVM running for 12.286)
[22:47:48.724] [INFO ] | c.w.b.d.w.board.BoardRepositoryTest | No active profile set, falling back to default profiles: default
[22:47:50.387] [INFO ] | c.w.b.d.w.board.BoardRepositoryTest | No active profile set, falling back to default profiles: default
[22:47:51.083] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[22:47:53.355] [INFO ] | c.w.b.i.CommentControllerTest | No active profile set, falling back to default profiles: default
[22:47:54.509] [INFO ] | c.w.b.i.CommentControllerTest | No active profile set, falling back to default profiles: default
[22:47:55.443] [INFO ] | c.w.b.interfaces.HelloControllerTest | No active profile set, falling back to default profiles: default
[22:53:57.935] [INFO ] | c.w.b.d.w.board.BoardRepositoryTest | No active profile set, falling back to default profiles: default
[22:53:59.082] [INFO ] | c.w.b.d.w.board.BoardRepositoryTest | No active profile set, falling back to default profiles: default
[22:53:59.721] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[22:54:01.830] [INFO ] | c.w.b.i.CommentControllerTest | No active profile set, falling back to default profiles: default
[22:54:02.711] [INFO ] | c.w.b.i.CommentControllerTest | No active profile set, falling back to default profiles: default
[22:54:03.709] [INFO ] | c.w.b.interfaces.HelloControllerTest | No active profile set, falling back to default profiles: default
[22:54:42.421] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[22:54:45.712] [INFO ] | c.w.b.interfaces.HelloControllerTest | No active profile set, falling back to default profiles: default
[22:55:21.202] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[22:55:34.379] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[22:56:13.069] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[22:56:28.325] [INFO ] | c.w.b.interfaces.BoardControllerTest | Started BoardControllerTest in 17.183 seconds (JVM running for 19.213)
[23:00:34.567] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[23:00:52.999] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[23:01:04.978] [INFO ] | c.w.b.interfaces.BoardControllerTest | Started BoardControllerTest in 13.354 seconds (JVM running for 14.849)
[23:05:08.193] [INFO ] | c.webatoz.backend.WebatozApplication | No active profile set, falling back to default profiles: default
[23:05:12.122] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[23:05:15.039] [INFO ] | c.webatoz.backend.WebatozApplication | Started WebatozApplication in 7.062 seconds (JVM running for 1312.859)
[23:05:25.672] [INFO ] | c.w.b.interfaces.BoardControllerTest | Started BoardControllerTest in 14.965 seconds (JVM running for 16.832)
[23:07:29.958] [INFO ] | c.webatoz.backend.WebatozApplication | No active profile set, falling back to default profiles: default
[23:07:33.786] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[23:07:38.399] [INFO ] | c.webatoz.backend.WebatozApplication | Started WebatozApplication in 8.7 seconds (JVM running for 1456.218)
[23:09:41.449] [INFO ] | c.webatoz.backend.WebatozApplication | No active profile set, falling back to default profiles: default
[23:09:44.362] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[23:09:49.126] [INFO ] | c.webatoz.backend.WebatozApplication | Started WebatozApplication in 7.877 seconds (JVM running for 1586.946)
[23:09:57.990] [INFO ] | c.w.b.interfaces.BoardControllerTest | Started BoardControllerTest in 14.855 seconds (JVM running for 16.232)
[23:10:57.758] [INFO ] | c.webatoz.backend.WebatozApplication | No active profile set, falling back to default profiles: default
[23:11:00.711] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[23:11:04.782] [INFO ] | c.webatoz.backend.WebatozApplication | Started WebatozApplication in 7.285 seconds (JVM running for 1662.602)
[23:11:12.071] [INFO ] | c.w.b.interfaces.BoardControllerTest | Started BoardControllerTest in 12.817 seconds (JVM running for 14.376)
[23:13:53.345] [INFO ] | c.webatoz.backend.WebatozApplication | No active profile set, falling back to default profiles: default
[23:13:55.943] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[23:13:59.186] [INFO ] | c.webatoz.backend.WebatozApplication | Started WebatozApplication in 6.079 seconds (JVM running for 1837.006)
[23:14:06.504] [INFO ] | c.w.b.interfaces.BoardControllerTest | Started BoardControllerTest in 11.804 seconds (JVM running for 13.224)
[23:18:07.036] [INFO ] | c.webatoz.backend.WebatozApplication | No active profile set, falling back to default profiles: default
[23:18:10.070] [INFO ] | c.w.b.interfaces.BoardControllerTest | No active profile set, falling back to default profiles: default
[23:18:13.782] [INFO ] | c.webatoz.backend.WebatozApplication | Started WebatozApplication in 6.949 seconds (JVM running for 2091.602)
[23:18:21.872] [INFO ] | c.w.b.interfaces.BoardControllerTest | Started BoardControllerTest in 13.096 seconds (JVM running for 14.85)
[23:19:07.924] [INFO ] | c.webatoz.backend.WebatozApplication | No active profile set, falling back to default profiles: default
[23:19:17.163] [INFO ] | c.webatoz.backend.WebatozApplication | Started WebatozApplication in 10.154 seconds (JVM running for 11.043)
